Date,SPY,QQQ,TLT,IEF,GLD,XLF,XLV,XLK
2010-01-04,113.38438536855863,43.62206611505473,93.85101727334661,90.2286825753061,108.2824834967124,13.465446818864494,29.891929803282036,21.196054065912012
2010-01-05,112.28606666955335,43.07522056442187,94.05017601056346,89.7355407111524,108.86694551666207,13.63605303698915,30.241522844308562,20.99224407783298
2010-01-06,113.15944412651945,42.82885255798293,93.44773464724216,90.24050632041032,107.53008219536865,13.710851125736808,30.803234067738355,21.007608602764464
2010-01-07,114.25150135872477,43.06829962407158,92.4408532115985,89.89816480460762,109.91200027567481,13.955593513091191,31.1190197589574,21.657747391524417
2010-01-08,112.14275837630572,43.27010087070504,92.6030795617676,90.15055205647577,108.39356355066805,13.872110824949658,31.67472915263311,21.702305686085612
2010-01-11,110.77251517495031,42.190988140873316,92.3652382855191,90.0703981565696,108.48510488427137,14.07843101091904,31.490269977633464,21.683216101794528
2010-01-12,110.95752995495197,41.80831088973267,92.94783299235414,90.03907854820022,106.27842019803914,14.476202793448248,31.053764902467808,21.67031013898046
2010-01-13,110.66197466270188,42.45440864334253,92.05698544973227,89.96871190797566,106.25377559221963,14.491164201187416,31.053563191695105,21.866314768859834
2010-01-14,110.69036724347036,42.5186779543924,91.5270556778513,90.05324197272398,105.83152128130021,14.593944474791122,31.297537105722533,22.02966903039223
2010-01-15,109.81841328583943,41.80754289240616,89.88556198649354,90.20093278033946,107.03143166901111,14.415571388075387,30.786368618427876,21.76540833606798
2010-01-18,110.81202672554754,43.058297412998954,88.40926803833908,90.53714133935978,106.60598885835041,14.595641187424063,30.54141964682797,21.66541678702867
2010-01-19,111.70375502912344,43.06622591481113,89.61488652605249,90.98473764277423,107.81619621927001,14.825070495036332,30.329171531829886,21.496392604069012
2010-01-20,111.82281806506944,43.29338276350342,91.0331348973011,91.09427412552735,106.76166053313848,14.73061631250502,30.442542818724373,21.43230928611943
2010-01-21,113.10795291745873,43.52985974718432,91.09255627291347,91.64164376679193,106.48630308483509,14.852555894364645,30.520370043810235,21.943878602711465
2010-01-22,113.67324754116179,43.357135018372716,90.52265208914471,91.67607462935396,106.23245039463285,14.913632385384707,30.319408729714212,22.12797678658808
2010-01-25,112.77091569738027,42.99455634194459,90.31428512474281,92.02386428822305,106.76596235609207,14.997349991335875,30.383650074708488,22.118474472396983
2010-01-26,113.22529156661938,44.15364448192026,90.90825687454294,92.16558845463032,107.1689535948235,15.167824894205909,30.081849448574836,22.480948940176393
