,GDP,CPI,FEDFUNDS,UNRATE
2010-01-01,0.008656604957053176,210.05966736176,2.0136667917871827,4.981917571859158
2010-01-02,0.00857349596511,210.06223110814759,2.02991177024675,4.999891219508782
2010-01-03,0.008490386973166822,210.05911351851435,2.0319454154937073,4.998106514779461
2010-01-04,0.008407277981223645,210.1220123125772,2.0376889583264997,5.006928028382884
2010-01-05,0.008324168989280468,210.13244709633312,2.0361534551047993,4.982999236103944
2010-01-06,0.008241059997337291,210.08866278016623,2.0414336419017447,4.979432684968024
2010-01-07,0.008157951005394112,210.05199841946606,2.044573293426737,5.001378574633426
2010-01-08,0.008074842013450935,210.02602580516597,2.045155937299252,5.020782127269601
2010-01-09,0.007991733021507758,210.07088384236866,2.046533474222023,5.0048362736111125
2010-01-10,0.007908624029564581,210.09800512917218,2.0510526970559595,4.993925109799616
2010-01-11,0.007825515037621404,210.15252939687556,2.048111172707504,4.974151375198339
2010-01-12,0.007742406045678227,210.15116676455875,2.0456862047867235,4.961023116833122
2010-01-13,0.00765929705373505,210.17909374911258,2.062759824923439,4.933041766018991
2010-01-14,0.007576188061791873,210.23037326881095,2.089865292611903,4.930278248570821
2010-01-15,0.007493079069848696,210.23490594182493,2.0778216231265625,4.942941016534478
2010-01-16,0.007409970077905519,210.2777447037028,2.0652269110828017,4.927239959258457
2010-01-17,0.007326861085962341,210.26464840664948,2.05565538280472,4.925427833605233
2010-01-18,0.007243752094019164,210.26649571432122,2.054622498654335,4.921017865452606
2010-01-19,0.007160643102075987,210.2674088196213,2.0635803037647076,4.942120240084571
2010-01-20,0.00707753411013281,210.22761683734186,2.06949283318519,4.929888403348482
2010-01-21,0.006994425118189632,210.27196546138114,2.0712131445529947,4.918384081195465
2010-01-22,0.006911316126246455,210.268495344371,2.0765025000225736,4.901463658629618
2010-01-23,0.006828207134303278,210.2891200503074,2.06958163845629,4.878713468228048
2010-01-24,0.006745098142360101,210.33315738325268,2.0671404107387636,4.889297168056988
2010-01-25,0.006661989150416924,210.3754839420542,2.0669394652550057,4.886594952130378
2010-01-26,0.006578880158473747,210.42875319750283,2.0510973018662875,4.887691149326844
2010-01-27,0.00649577116653057,210.44382892327735,2.0394841998190616,4.913183972450752
2010-01-28,0.006412662174587393,210.44266400767515,2.0282685392062847,4.9398255869693095
2010-01-29,0.006329553182644215,210.45867809712982,2.0359096214431225,4.906900900812613
2010-01-30,0.006246444190701038,210.39431137543193,2.0383631709288466,4.919857594274524
2010-01-31,0.006163335198757861,210.34195575181076,2.044473782929586,4.924370532788748
2010-02-01,0.006080226206814683,210.29582077119304,2.0260772330315615,4.915138712805829
2010-02-02,0.005997117214871506,210.26595842981297,2.0112415661710457,4.921692386546389
2010-02-03,0.005914008222928329,210.30594714114915,2.0178737205736104,4.887164721841973
2010-02-04,0.005830899230985152,210.28067318838114,1.99008702415695,4.916417568697501
2010-02-05,0.005747790239041975,210.28176506067916,2.002333317732948,4.9267164506389385
2010-02-06,0.0056646812470987976,210.36672647556847,1.9841001462977201,4.909412495742286
2010-02-07,0.0055815722551556205,210.3689132770154,1.9925335952169698,4.897704291305895
2010-02-08,0.0054984632632124435,210.42578905543874,1.9836477489694002,4.863641361794946
2010-02-09,0.005415354271269266,210.39910817143826,1.9941367861211161,4.857362216798221
2010-02-10,0.0053322452793260885,210.40883629354488,2.026218395260281,4.847707577253409
2010-02-11,0.0052491362873829115,210.38133519079935,2.00348661895907,4.821205369510935
2010-02-12,0.005166027295439734,210.3843835370043,2.0104403904376764,4.83673941418513
2010-02-13,0.0050829183034965565,210.4463989438772,1.9923587633017388,4.862275357979019
2010-02-14,0.0049998093115533795,210.38003292271756,1.996626452523914,4.8617281481781305
2010-02-15,0.004916700319610202,210.42175410489486,1.994558730888395,4.8556152105212025
2010-02-16,0.004833591327667025,210.45364088501148,1.9958565541130133,4.864314902563838
2010-02-17,0.004750482335723848,210.44393338722665,1.986739691349731,4.863922123313937
2010-02-18,0.004667373343780671,210.3916304945072,1.994545102444696,4.842278538989314
2010-02-19,0.004584264351837494,210.4152369698929,1.9800615240649921,4.829224979257568
2010-02-20,0.004501155359894316,210.40876233443973,1.9924778966939796,4.823296259122608
2010-02-21,0.004418046367951139,210.44039614500747,1.9883853936278777,4.828259991012142
2010-02-22,0.004334937376007962,210.46148875228363,1.9743584868538469,4.8284467253696715
